confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	Tom Panelli	had	a perfectly good reason for not using the $ 300 rowing machine			Tom Panelli had a perfectly good reason for not using the $ 300 rowing machine he bought three years ago .		
1.0	the $ 300 rowing machine	bought	three years ago			Tom Panelli had a perfectly good reason for not using the $ 300 rowing machine he bought three years ago .		
1.0	U.S. makers	have	under 10 % share			U.S. makers have under 10 % share , compared with half the market in Europe and 80 % at home .		
1.0	U.S. makers have under 10 % share	have under 10 % share , compared	with half the market in Europe and 80 % at home			U.S. makers have under 10 % share , compared with half the market in Europe and 80 % at home .		
1.0	USG Corp	agreed	to sell its headquarters building here to Manufacturers Life Insurance Co. of Toronto			USG Corp. agreed to sell its headquarters building here to Manufacturers Life Insurance Co. of Toronto , and will lease the 19 - story facility until it moves to a new quarters in 1992 .		
1.0	USG Corp	will lease	the 19 - story facility until it moves to a new quarters in 1992			USG Corp. agreed to sell its headquarters building here to Manufacturers Life Insurance Co. of Toronto , and will lease the 19 - story facility until it moves to a new quarters in 1992 .		
1.0	a merger agreement	reached	Sept. 14			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	the UAL board	agreed	a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	the UAL board	agreed	a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	the UAL board	agreed	Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	the group	did n't breach	the agreement			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction	agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed	to reimburse certain of the buy - out group 's expenses			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	the UAL board	agreed	reimburse certain of the buy			Under a merger agreement reached Sept. 14 , the UAL board agreed to reimburse certain of the buy - out group 's expenses out of company funds even if the transaction was n't completed , provided the group did n't breach the agreement .		
1.0	potential investors	will submit	Under the debt - equity program , potential investors will submit sealed bids on the percentage of discount			Under the debt - equity program , potential investors will submit sealed bids on the percentage of discount they are willing to purchase the debt at , and the bids will be allocated based on these discount offers .		
1.0	the bids	will be allocated based	on these discount offers			Under the debt - equity program , potential investors will submit sealed bids on the percentage of discount they are willing to purchase the debt at , and the bids will be allocated based on these discount offers .		
1.0	Unemployment	has reached	27.6			Unemployment has reached 27.6 % in Azerbaijan , 25.7 % in Tadzhikistan , 22.8 % in Uzbekistan , 18.8 % in Turkmenia , 18 % in Armenia and 16.3 % in Kirgizia , the Communist Party newspaper said .		
1.0	Unemployment	has reached	27.6 % in Azerbaijan , 25.7 % in Tadzhikistan , 22.8 % in Uzbekistan , 18.8 % in Turkmenia , 18 % in Armenia and 16.3 % in Kirgizia			Unemployment has reached 27.6 % in Azerbaijan , 25.7 % in Tadzhikistan , 22.8 % in Uzbekistan , 18.8 % in Turkmenia , 18 % in Armenia and 16.3 % in Kirgizia , the Communist Party newspaper said .		
1.0	Vernon E. Jordan	was elected	to the board of this transportation services concern			Vernon E. Jordan was elected to the board of this transportation services concern .		
1.0	Warner Communications Inc	is being acquired	by Time Warner			Warner Communications Inc. , which is being acquired by Time Warner , has filed a $ 1 billion breach - of - contract suit against Sony and the two producers .		
1.0	Warner Communications Inc	has filed	a $ 1 billion breach - of - contract suit against Sony and the two producers			Warner Communications Inc. , which is being acquired by Time Warner , has filed a $ 1 billion breach - of - contract suit against Sony and the two producers .		
1.0	Warner	has	a five - year exclusive contract with Mr. Guber and Mr. Peters			Warner has a five - year exclusive contract with Mr. Guber and Mr. Peters that requires them to make movies exclusively at the Warner Bros. studio .		
1.0	Mr. Guber and Mr. Peters	requires	them to make movies exclusively at the Warner Bros. studio			Warner has a five - year exclusive contract with Mr. Guber and Mr. Peters that requires them to make movies exclusively at the Warner Bros. studio .		
1.0	he	wo n't be paying	for it			While the campaign was Mr. Gibbons 's idea , however , he wo n't be paying for it : The donations will come out of the chain 's national advertising fund , which is financed by the franchisees .		
1.0	the campaign	was	Mr. Gibbons 's idea			While the campaign was Mr. Gibbons 's idea , however , he wo n't be paying for it : The donations will come out of the chain 's national advertising fund , which is financed by the franchisees .		
